branch,local_head,upstream,matching_remote_head,matching_remote_state,registered_worktree,purpose_or_hold,next_action
fix/find-user-location-race-20260815,7544ba8b,origin/fix/find-user-location-race-20260815,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/fiscal-agreement-copy-20260727,cc4d0adc,origin/fix/fiscal-agreement-copy-20260727,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/fiscal-runtime-budget-20260727,1431b197,origin/fix/fiscal-runtime-budget-20260727,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/google-drive-connection-switch,bb262360,origin/fix/google-drive-connection-switch,none,none,/Users/calebhamernick/Development/coach-house-platform-google-drive-switch-20260903,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/google-homepage-branding-20260912,86e64106,origin/fix/google-homepage-branding-20260912,none,none,/Users/calebhamernick/Development/coach-house-platform-google-homepage-branding-20260912,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/google-integration-privacy-20260911,8f3382ae,origin/fix/google-integration-privacy-20260911,none,none,/Users/calebhamernick/Development/coach-house-platform-google-privacy-release-20260911,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/hide-unready-tools-20260828,bb262360,origin/fix/hide-unready-tools-20260828,c01492d6,different,/Users/calebhamernick/Development/coach-house-platform-tools-hotfix-20260828,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/local-organization-console-errors-20260810,f61a7b75,origin/fix/local-organization-console-errors-20260810,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/management-developer-authorization-20260914,6c2e492b,origin/fix/management-developer-authorization-20260914,beaa15b2,different,/Users/calebhamernick/Development/coach-house-platform-ai-auth-fix-20260914,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/migration-history-reconcile-20260902,bb262360,origin/fix/migration-history-reconcile-20260902,none,none,/Users/calebhamernick/Development/coach-house-platform-migration-history-reconcile-20260902,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/onboarding-action-test-isolation-20260924,417c97c3,origin/fix/onboarding-action-test-isolation-20260924,none,none,/Users/calebhamernick/Development/coach-house-platform-onboarding-test-isolation-20260924,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/onboarding-step-submit-race-20260829,bb262360,origin/fix/onboarding-step-submit-race-20260829,none,none,/Users/calebhamernick/Development/coach-house-platform-google-auth-rollout-20260829,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/organization-detail-parallel-loads-20260811,d87b86c7,origin/fix/organization-detail-parallel-loads-20260811,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/paid-subscription-plan-changes-20260810,3194156f,origin/fix/paid-subscription-plan-changes-20260810,3194156f,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/people-page-read-only-20260811,c28c7cb4,origin/fix/people-page-read-only-20260811,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/pricing-signup-and-map-layout,b55211b5,origin/fix/pricing-signup-and-map-layout,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/profile-settings-completion-20260914,5e1fac10,origin/fix/profile-settings-completion-20260914,5e1fac10,same,/Users/calebhamernick/Development/coach-house-platform-profile-settings-fix-20260914,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-documentation-production-20260924,3d40aa83,origin/main,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-find-desktop-rail-hardening-2026-07-07,c37832df,origin/fix/public-find-desktop-rail-hardening-2026-07-07,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-find-sidebar-admin-preview-2026-07-07,131f6b9b,origin/fix/public-find-sidebar-admin-preview-2026-07-07,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-find-welcome-intro-2026-07-07,c5a49dcd,origin/main,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-home-legal-links-20260911,1a41dac1,origin/fix/public-home-legal-links-20260911,none,none,/Users/calebhamernick/Development/coach-house-platform-public-legal-links-20260911,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-map-light-haze-2026-07-08,c98527ce,origin/fix/public-map-light-haze-2026-07-08,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/public-roadmap-analytics-abuse-20260814,d9b22758,origin/fix/public-roadmap-analytics-abuse-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/read-only-profile-cleanup-20260811,dc06f942,origin/fix/read-only-profile-cleanup-20260811,none,none,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-canary-review-guard-20260813,56c3d4ec,origin/fix/resource-canary-review-guard-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-cook-county-live-verification-20260813,720b0f0b,origin/fix/resource-cook-county-live-verification-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-food-evidence-20260813,feef5753,origin/fix/resource-food-evidence-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-food-network-links-20260813,704f012e,origin/fix/resource-food-network-links-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-food-northern-links-20260813,30d98b6b,origin/fix/resource-food-northern-links-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-immigrant-evidence-20260813,34b5fe01,origin/fix/resource-immigrant-evidence-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-map-bulk-contact-exposure-20260813,75115302,origin/fix/resource-map-bulk-contact-exposure-20260813,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-map-preview-isolation-20260828,bb262360,origin/main,58d6de4a,different,/Users/calebhamernick/Development/coach-house-platform-resource-map-preview-isolation-20260828,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/resource-map-stack-base-20260910,ad4c5541,,none,none,/Users/calebhamernick/Development/coach-house-platform-pr231-stack-repair-20260910,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/roadmap-html-sanitizer-20260814,5e10241f,origin/fix/roadmap-html-sanitizer-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/self-host-google-fonts-20260812,48eb0c80,origin/fix/self-host-google-fonts-20260812,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/self-host-inter-font-20260810,7185c3f7,origin/fix/self-host-inter-font-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/supabase-seed-cte-scope-20260813,fa42f07f,origin/fix/supabase-seed-cte-scope-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/team-login-auth-warning,8ef760a5,origin/fix/team-login-auth-warning,none,none,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/trusted-signup-consent-20260814,63961956,origin/fix/trusted-signup-consent-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/vercel-space-grotesk-build-20260810,05ac97c9,origin/fix/vercel-space-grotesk-build-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-board-concurrency-20260811,25f67692,origin/fix/workspace-board-concurrency-20260811,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-documents-drawer-entry-20260810,04666693,origin/fix/workspace-documents-drawer-entry-20260810,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-entitlement-fallback-2026-07-07,07e193bd,origin/fix/workspace-entitlement-fallback-2026-07-07,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-foundation-all-users-20260810,13a091b0,origin/fix/workspace-foundation-all-users-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-foundation-global-rollout-20260810,5f435b16,origin/fix/workspace-foundation-global-rollout-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-rail-nav-polish-2026-07-13,93765151,origin/fix/workspace-rail-nav-polish-2026-07-13,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/workspace-tab-widths-20260921,00fd0d81,origin/fix/workspace-tab-widths-20260921,none,none,/Users/calebhamernick/Development/coach-house-platform-workspace-width-hotfix-20260921,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/login-hcaptcha,d48daff2,origin/hotfix/login-hcaptcha,none,none,/Users/calebhamernick/Development/coach-house-platform-login-hotfix,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/onboarding-pricing-return,0248b50d,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-pricing-return-hotfix,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/public-find-resource-cache-revalidation-2026-07-13,209a7986,origin/hotfix/public-find-resource-cache-revalidation-2026-07-13,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/remove-hcaptcha-from-app,0c96030b,origin/main,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/resource-map-live-data-cleanup-2026-07-15,5dc0a80f,origin/hotfix/resource-map-live-data-cleanup-2026-07-15,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/resource-map-promotion-evidence-chunks-2026-07-13,21b4b720,origin/hotfix/resource-map-promotion-evidence-chunks-2026-07-13,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
hotfix/subscription-sync,043a25ac,origin/hotfix/subscription-sync,none,none,/Users/calebhamernick/Development/coach-house-platform-subscription-sync-hotfix,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
launch/canvas-map-implementation,f15ce510,,none,none,/Users/calebhamernick/Development/coach-house-platform-launch-clean,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
main,bb1a3e0b,origin/main,32d7e8d8,different,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/app-shell-mobile-20260924,2f15f54f,origin/chore/app-shell-mobile-20260924,2f15f54f,same,,scoped lane backup,review product and integration gates; no release claim
chore/google-calendar-20260924,a1acccad,origin/chore/google-calendar-20260924,a1acccad,same,,scoped lane backup,review product and integration gates; no release claim
chore/marketplace-people-20260924,21026428,origin/chore/marketplace-people-20260924,21026428,same,,scoped lane backup,review product and integration gates; no release claim
chore/workspace-particles-objectives-20260924,8eabd28e,origin/chore/workspace-particles-objectives-20260924,8eabd28e,same,,scoped lane backup,review product and integration gates; no release claim
perf/find-interaction-ready-20260814,7172a6b7,origin/perf/find-interaction-ready-20260814,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
perf/find-location-lcp-20260812,76df713a,origin/perf/find-location-lcp-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
perf/find-map-post-lcp-start-20260812,ddf0dd57,origin/perf/find-map-post-lcp-start-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
perf/find-map-start-delay-20260812,dd2f6a34,origin/perf/find-map-start-delay-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
perf/find-release-budgets-20260812,efeb8ee7,origin/perf/find-release-budgets-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
perf/find-server-consent-paint-20260812,e5110999,origin/perf/find-server-consent-paint-20260812,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
chore/preserve-s02-closeout-local-20260924,80cb2c3f,,none,none,/Users/calebhamernick/Development/coach-house-platform-public-documentation-production-20260924,closed S02 notes,retain locally as closed historical record
record-cook-county-ledger-evidence-20260813,bfc06614,origin/record-cook-county-ledger-evidence-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
record-wave6-canary-proof-20260813,bcc841d8,origin/record-wave6-canary-proof-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
recovery/find-organization-profile-20260820,4b27fa12,,none,none,/private/tmp/coach-house-find-org-profile-recovery.6qo0ah,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
release/app-shell-sidebar-state-2026-07-06,edfdd0c3,origin/release/app-shell-sidebar-state-2026-07-06,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
release/dependency-resizable-compat-2026-07-07,9c61a88e,origin/release/dependency-resizable-compat-2026-07-07,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
release/docs-agent-cleanup-2026-07-07,b4569bbb,origin/release/docs-agent-cleanup-2026-07-07,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
release/organization-profile-people-2026-07-07,41969e38,origin/release/organization-profile-people-2026-07-07,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
release/public-find-resource-map-2026-07-06,bd761f7c,origin/release/public-find-resource-map-2026-07-06,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
release/resource-map-tooling-schema-2026-07-06,6de54ea3,origin/release/resource-map-tooling-schema-2026-07-06,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
release/signup-onboarding-platform-hardening-2026-05-15,83727ed4,origin/release/signup-onboarding-platform-hardening-2026-05-15,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
release/v0.1.0,9df57ccc,,9df57ccc,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
release/workspace-program-fiscal-2026-07-06,b8b46cde,origin/release/workspace-program-fiscal-2026-07-06,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
step/s01-design-system,927f0456,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
test/legal-consent-trigger-rls-20260813,b6255626,origin/test/legal-consent-trigger-rls-20260813,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
wip/dirty-tree-snapshot-20260413-1305,c2228b8e,origin/wip/dirty-tree-snapshot-20260413-1305,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
wip/onboarding-resume-sync,855d0ca4,origin/wip/onboarding-resume-sync,855d0ca4,same,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
